AccountID:ACC000,IBAN:GR1710305974,InterestRate:1.0,Balance:559.16,DateCreated:2024-01-03,AccountType:PERSONAL,MainOwnerID:U095,SecondaryOwnerIDs:,MaintenanceFee:
AccountID:ACC001,IBAN:GR1507995086,InterestRate:1.0,Balance:9846.7,DateCreated:2024-02-26,AccountType:BUSINESS,MainOwnerID:BIZ00040,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC002,IBAN:GR1792682173,InterestRate:1.0,Balance:8306.9,DateCreated:2024-10-13,AccountType:PERSONAL,MainOwnerID:U069,SecondaryOwnerIDs:,MaintenanceFee:
AccountID:ACC003,IBAN:GR1359248813,InterestRate:1.0,Balance:9652.36,DateCreated:2024-03-01,AccountType:BUSINESS,MainOwnerID:BIZ00153,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC004,IBAN:GR1442818861,InterestRate:1.0,Balance:1765.08,DateCreated:2024-08-22,AccountType:PERSONAL,MainOwnerID:U095,SecondaryOwnerIDs:U167|U186|,MaintenanceFee:
AccountID:ACC005,IBAN:GR1783404147,InterestRate:1.0,Balance:4785.78,DateCreated:2024-08-10,AccountType:BUSINESS,MainOwnerID:BIZ00069,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC006,IBAN:GR1293754245,InterestRate:1.0,Balance:6325.13,DateCreated:2024-02-12,AccountType:PERSONAL,MainOwnerID:U076,SecondaryOwnerIDs:U026|U020|,MaintenanceFee:
AccountID:ACC007,IBAN:GR1104319994,InterestRate:1.0,Balance:8995.19,DateCreated:2024-11-22,AccountType:BUSINESS,MainOwnerID:BIZ00129,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC008,IBAN:GR1202379084,InterestRate:1.0,Balance:4766.5,DateCreated:2024-04-28,AccountType:PERSONAL,MainOwnerID:U152,SecondaryOwnerIDs:U124|,MaintenanceFee:
AccountID:ACC009,IBAN:GR1682635415,InterestRate:1.0,Balance:3839.07,DateCreated:2024-03-21,AccountType:BUSINESS,MainOwnerID:BIZ00172,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC010,IBAN:GR1444476827,InterestRate:1.0,Balance:3878.6,DateCreated:2024-09-05,AccountType:PERSONAL,MainOwnerID:U054,SecondaryOwnerIDs:,MaintenanceFee:
AccountID:ACC011,IBAN:GR1333428290,InterestRate:1.0,Balance:8647.77,DateCreated:2024-09-16,AccountType:BUSINESS,MainOwnerID:BIZ00038,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC012,IBAN:GR1791400597,InterestRate:1.0,Balance:4845.21,DateCreated:2024-06-06,AccountType:PERSONAL,MainOwnerID:U071,SecondaryOwnerIDs:U019|,MaintenanceFee:
AccountID:ACC013,IBAN:GR1004263013,InterestRate:1.0,Balance:1633.96,DateCreated:2024-06-15,AccountType:BUSINESS,MainOwnerID:BIZ00029,SecondaryOwnerIDs:,MaintenanceFee:5.0
AccountID:ACC014,IBAN:GR1067403763,InterestRate:1.0,Balance:7602.86,DateCreated:2024-11-19,AccountType:PERSONAL,MainOwnerID:U169,SecondaryOwnerIDs:U170|,MaintenanceFee:
AccountID:ACC015,IBAN:GR1550803115,InterestRate:1.0,Balance:865.39,DateCreated:2024-05-24,AccountType:BUSINESS,MainOwnerID:BIZ00188,SecondaryOwnerIDs:,MaintenanceFee:5.0
