userId:TestID1,username:admin,passwordHash:hash,email:,phone:,role:ADMIN,firstName:,lastName:,afm:,lastLogin:2025-12-30T20:03:58.682649900,businessName:,employeeId:,vatNumber:
userId:TestID2,username:ngioldasis,passwordHash:hash,email:ngioldasis@example.com,phone:690000001,role:PERSON,firstName:ΝΕΚΤΑΡΙΟΣ,lastName:ΓΙΟΛΔΑΣΗΣ,afm:067688302,lastLogin:2026-01-03T23:47:14.167918,businessName:,employeeId:,vatNumber:
userId:TestID3,username:pappas,passwordHash:hash,email:pappas@example.com,phone:690000002,role:PERSON,firstName:ΝΙΚΟΣ,lastName:ΠΑΠΠΑΣ,afm:067688303,lastLogin:2025-12-26T12:22:41.996990700,businessName:,employeeId:,vatNumber:
userId:TestID4,username:gchalkiadakis,passwordHash:hash,email:gchalkiadakis@example.com,phone:690000003,role:PERSON,firstName:ΓΙΩΡΓΟΣ,lastName:ΧΑΛΚΙΑΔΑΚΗΣ,afm:067688304,lastLogin:2025-12-20T14:20,businessName:,employeeId:,vatNumber:
userId:TestID5,username:mteranova,passwordHash:hash,email:mteranova@example.com,phone:690000004,role:PERSON,firstName:ΜΑΡΙΑ,lastName:ΤΕΡΑΝΟΒΑ,afm:067688305,lastLogin:2025-12-20T14:20,businessName:,employeeId:,vatNumber:
userId:TestID6,username:skarakosta,passwordHash:hash,email:skarakosta@example.com,phone:690000005,role:PERSON,firstName:ΣΟΦΙΑ,lastName:ΚΑΡΑΚΩΣΤΑ,afm:067688306,lastLogin:2025-12-20T14:20,businessName:,employeeId:,vatNumber:
userId:TestID7,username:edimitriou,passwordHash:hash,email:edimitriou@example.com,phone:690000006,role:PERSON,firstName:ΕΛΕΝΗ,lastName:ΔΗΜΗΤΡΙΟΥ,afm:067688307,lastLogin:2025-12-20T14:20,businessName:,employeeId:,vatNumber:
userId:TestID8,username:vodafone,passwordHash:hash,email:vodafone@example.com,phone:690000007,role:BUSINESS,firstName:,lastName:,afm:,lastLogin:2026-01-02T03:28:28.002918272,businessName:VODAFONE GR,employeeId:,vatNumber:CVAT00001
userId:TestID9,username:cosmote,passwordHash:hash,email:cosmote@example.com,phone:690000008,role:BUSINESS,firstName:,lastName:,afm:,lastLogin:2025-12-30T20:19:32.735157900,businessName:COSMOTE,employeeId:,vatNumber:CVAT00002
userId:TestID10,username:dei,passwordHash:hash,email:dei@example.com,phone:690000009,role:BUSINESS,firstName:,lastName:,afm:,lastLogin:2025-12-29T20:44:51.809527100,businessName:DEI,employeeId:,vatNumber:CVAT00003
userId:TestID11,username:nova,passwordHash:hash,email:nova@example.com,phone:690000010,role:BUSINESS,firstName:,lastName:,afm:,lastLogin:2025-12-29T19:37:43.471293200,businessName:NOVA,employeeId:,vatNumber:CVAT00004
